	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	4.88	0.0
0.2	0.2	9.77	0.12
0.3	0.3	14.65	0.37
0.4	0.4	19.54	0.7
0.5	0.5	24.42	1.08
0.6	0.6	29.3	1.52
0.7	0.7	34.19	2.02
0.8	0.8	39.07	2.54
0.9	0.9	43.95	3.11
1.0	1.0	48.84	3.71
1.1	1.1	158.05	4.34
1.2	1.2	267.27	5.01
1.3	1.3	376.49	5.71
1.4	1.4	485.7	6.44
1.5	1.5	594.92	7.2
1.6	1.6	704.14	7.98
1.7	1.7	813.35	8.79
1.8	1.8	922.57	9.63
1.9	1.9	1031.78	10.49
2.0	2.0	1141.0	11.38
2.1	2.1	1452.8	16.87
2.2	2.2	1764.6	17.51
2.3	2.3	2076.4	18.13
2.4	2.4	2388.2	18.72
2.5	2.5	2700.0	19.29
2.6	2.6	3011.8	19.85
2.7	2.7	3323.6	20.39
2.8	2.8	3635.4	20.91
2.9	2.9	3947.2	21.43
3.0	3.0	4259.0	21.93
3.1	3.1	4775.9	22.42
3.2	3.2	5292.8	22.89
3.3	3.3	5809.7	23.36
3.4	3.4	6326.6	23.82
3.5	3.5	6843.5	24.27
3.6	3.6	7360.4	24.71
3.7	3.7	7877.3	25.14
3.8	3.8	8394.2	25.57
3.9	3.9	8911.1	25.99
4.0	4.0	9428.0	26.4
4.1	4.1	10215.4	26.81
4.2	4.2	11002.8	27.21
4.3	4.3	11790.2	27.6
4.4	4.4	12577.6	27.99
4.5	4.5	13365.0	28.37
4.6	4.6	14152.4	28.75
4.7	4.7	14939.8	29.12
4.8	4.8	15727.2	29.49
4.9	4.9	16514.6	29.85
5.0	5.0	17302.0	30.21
5.1	5.1	17400.83	30.57
5.108119037	5.108119037	18290.29	30.6
