subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_620012,162.29920959472656,2.334335327148437,65780.4830904555,10427.400122,0,inf
_600017,162.28085327148438,2.352691650390625,71344.69543995637,12204.1954956,0,0.013068287627913297
_530023,162.1487579345703,2.4847869873046875,75963.15991256558,13745.402077600002,0,0.021613576661330056
_490052,161.95436096191406,2.679183959960937,81245.87860507982,14514.8947576,0,0.06154786233954387
_610014,160.9762420654297,3.657302856445313,82463.04125592211,11550.6116369,0,0.055314720348632086
_620076,160.94085693359375,3.69268798828125,90685.85852582184,11837.083087,0,0.024975317248330266
_590005,160.6254119873047,4.0081329345703125,96267.3379600093,12518.4468161,0,0.027936081135260086
_630097,160.44696044921875,4.18658447265625,97058.5586739676,14533.0548069,0,0.013478882202497435
_460005,160.39654541015625,4.23699951171875,100185.10005674545,14677.0673117,0,0.016386569643429588
_620095,160.24624633789062,4.387298583984375,108749.11210093096,15650.94658819,0,0.020819819472875253
_510023,160.0948028564453,4.538742065429688,110862.85537805478,15500.8899861,0,0.027377023213783935
_610009,159.76394653320312,4.869598388671875,115147.34004036874,16730.8078609,0,0.02537215158508936
_600057,159.68817138671875,4.94537353515625,120398.13419190918,14793.0956111,0,0.02509523199573252
_550001,159.4106903076172,5.2228546142578125,128951.63674445594,17698.6430401,0,0.03487203397090169
_630057,159.10772705078125,5.52581787109375,131576.88547239985,18266.1614949,0,0.021204937730378685
_630021,159.0486297607422,5.5849151611328125,134935.582101664,16755.2454299,0,0.02039808079942143
_520101,158.92469787597656,5.7088470458984375,152100.53205348516,18003.027285199998,0,0.025220170410587474
_610036,158.7928466796875,5.8406982421875,157676.09689493052,18263.0800887,0,0.021880688423985405
_590093,158.65968322753906,5.9738616943359375,167978.3753688937,19658.8792792,0,0.02076884767007518
_560049,158.4968719482422,6.1366729736328125,168777.11644271426,21329.7280722,0,0.019622461551405172
_550095,158.39712524414062,6.236419677734375,179992.91411708962,25823.9868212,0,0.02210890522044265
_400020,158.3108673095703,6.322677612304688,192128.0127817184,29276.3216383,0,0.0351101052426931
_570088,157.87120056152344,6.7623443603515625,196474.04388163128,26876.6918402,0,0.030997912218523688
_580084,157.798095703125,6.83544921875,202349.7446811068,27046.6756394,0,0.02698257434341426
_560052,157.4016876220703,7.231857299804687,203301.76653909305,32530.018131699995,0,0.022083937708096354
_600033,157.3949737548828,7.2385711669921875,206253.60475485612,32645.961639,0,0.00919675378743897
_630074,157.2845458984375,7.3489990234375,209461.3973838829,32976.1434888,0,0.01750014636883382
_600023,157.11427307128906,7.5192718505859375,212809.7778982616,31672.512344299997,0,0.025158099800443902
_540094,156.9340362548828,7.6995086669921875,223624.79627333808,32075.222713699997,0,0.026916365190734096
_480022,156.7262420654297,7.907302856445312,226799.1309565988,32823.8668273,0,0.019549339161907226
_600024,156.60243225097656,8.031112670898438,229337.08553682224,33797.4864643,0,0.014907544461379641
_630001,156.545654296875,8.087890625,237614.14933167523,33226.5771967,0,0.011535126091089195
_370004,156.48724365234375,8.14630126953125,239898.98729579037,33141.8020127,0,0.044849070180038114
_630003,155.6714324951172,8.962112426757812,240578.86069132647,34778.210794800005,0,0.044431846601549134
_600095,155.66481018066406,8.968734741210938,246737.2405593629,36868.2933543,0,0.012558213941294086
_620042,155.5486602783203,9.084884643554688,252312.80540080825,37128.3461578,0,0.015313293563166686
_540069,155.51153564453125,9.12200927734375,260726.59361770004,38019.6478373,0,0.010495068604879546
_630040,155.4527587890625,9.1807861328125,262717.8231478222,38429.1389273,0,0.01187043358389945
_600001,155.36672973632812,9.266815185546877,269248.08287078777,46839.3829397,0,0.017184171934325435
_630039,155.302978515625,9.33056640625,280401.944247697,44216.5336583,0,0.031222235017376712
_530003,154.92613220214844,9.707412719726562,286324.95892385417,48327.8098497,0,0.024633801021461194
_630019,154.87252807617188,9.761016845703123,286473.80266231496,43746.0634655,0,0.004993389623549576
_580018,154.85540771484375,9.77813720703125,289032.8862337032,44101.1440783,0,0.01553602474881469
_540000,154.60411071777344,10.029434204101562,290576.53208916093,49408.4281217,0,0.01802030021700691
_590067,154.56805419921875,10.06549072265625,295934.9825785983,44541.9785713,0,0.013235973116086722
_630034,154.44639587402344,10.187149047851562,300413.3335229485,46433.8079763,0,0.01470557082373455
_600005,154.34364318847656,10.289901733398438,302468.73208952945,50318.6171156,0,0.02681381737004585
_590017,154.05111694335938,10.582427978515623,313569.5975498806,53283.8122952,0,0.03423685884966833
_610018,153.8142852783203,10.819259643554688,317064.2495075749,53301.0602856,0,0.0426932117146998
_600078,153.4766387939453,11.156906127929688,339422.0505597935,58859.4871522,0,0.05680460619681059
_610082,153.17935180664062,11.454193115234377,363027.4927050883,61696.6736722,0,0.05735780584306257
_630108,152.84657287597656,11.786972045898438,386820.4403931304,66032.5115372,0,0.048447439831017264
_620018,152.56451416015625,12.06903076171875,395676.9124302172,74117.22635220001,0,0.026599350061458416
_630058,152.46990966796875,12.16363525390625,401252.47727166256,74377.27915570002,0,0.020382092003892183
_630075,152.3634490966797,12.270095825195312,414559.9402212165,76847.52544820002,0,0.0294658371235108
_570011,152.32040405273438,12.313140869140623,441166.1822811466,72234.1490193,0,0.030185473775284598
_560018,152.0552978515625,12.5782470703125,441597.9486369106,65027.5054393,0,0.018816373994252966
_630076,152.0537872314453,12.579757690429688,451360.62532234535,65687.4660489,0,0.023057541002483757
_620009,151.70303344726562,12.930511474609377,451806.7654504078,66151.7039858,0,0.03576394144423916
_570097,151.57423400878906,13.059310913085938,473167.6958939175,69641.2758378,0,0.02482595130650209
_620031,151.56094360351562,13.072601318359377,483994.3197929637,71342.9827588,0,0.019518179127788946
_630099,151.5441131591797,13.089431762695312,505764.5893807028,73677.19186980001,0,0.024865958779398255
_520020,151.31094360351562,13.322601318359377,506611.2099482413,77856.31306049999,0,0.02033813220738414
_550099,151.30319213867188,13.330352783203123,521006.556572032,78610.7247297,0,0.019946772280056833
_550111,151.15757751464844,13.475967407226562,528969.6318060067,79174.42663850001,0,0.03600724497915927
_580083,150.673583984375,13.9599609375,529844.4048158242,82880.9636058,0,0.03517761150651746
_620034,150.63015747070312,14.003387451171877,545439.1842342428,84347.8324918,0,0.032970393656631805
_600039,150.5294952392578,14.104049682617188,576578.3467635219,92324.1439922,0,0.028905483568249388
_620028,150.4642333984375,14.1693115234375,582872.6041731534,103982.1150658,0,0.01921904982694648
_630046,150.27020263671875,14.36334228515625,588155.3228656676,104751.6077458,0,0.022827237583760006
_630082,150.1593475341797,14.474197387695312,596898.8465527681,97684.0488592,0,0.04044575006709081
_560082,150.0541229248047,14.579421997070312,641971.3712040161,93345.6627602,0,0.037190264978729376
_620017,149.9884796142578,14.645065307617188,648869.220341879,94841.7910102,0,0.013175194539190709
_630050,149.8933868408203,14.740158081054688,651428.3039132671,95196.871623,0,0.008306182989429506
_630012,149.85842895507812,14.775115966796877,652265.1545733179,93652.1519503,0,0.02027445648557112
_590099,149.61109924316406,15.022445678710938,662858.5734002162,95993.1454932,0,0.029968398242968323
_620068,149.50791931152344,15.125625610351562,675125.490570168,96374.3653201,0,0.018831961830402897
_620077,149.42930603027344,15.204238891601562,680661.1509603354,96201.91055879,0,0.018080633164339888
_630053,149.32093811035156,15.312606811523438,691106.0731586273,97935.2108931,0,0.020301279006418444
_630107,149.28482055664062,15.348724365234377,704454.0986483773,100537.74842379,0,0.031056963272965008
_570000,149.25001525878906,15.383529663085938,740918.7686468629,110671.62790559,0,0.03132763921969326
_570105,149.16659545898438,15.466949462890623,750529.1791386947,111008.0523033,0,0.010008368757841307
_630017,149.16595458984375,15.46759033203125,751501.9530784334,111573.40140059,0,0.008421250921403396
_580022,149.02197265625,15.611572265625,752830.9678286738,112066.25926959,0,0.0223560699597175
_580016,148.8597869873047,15.773757934570312,764561.7946119116,111167.9682843,0,0.017837339655940674
_620105,148.82794189453125,15.80560302734375,767741.721693001,111579.6081385,0,0.016845482637050817
_590026,148.584716796875,16.048828125,770437.4954113872,111337.9520835,0,0.030994210066768623
_630055,148.3339385986328,16.299606323242188,779633.9216933694,112489.7971324,0,0.06054973182988571
_580041,148.02821350097656,16.605331420898438,830180.4877622958,123601.65509079,0,0.05817820731046195
_620108,147.919189453125,16.71435546875,847756.5803213008,127365.90879979,0,0.024064897697665157
